timestamp,symbol,close
1757260800,BTC,111152.0
1757260800,ETH,4281.0
1757264400,BTC,110912.0
1757264400,ETH,4272.5
1757268000,BTC,111003.0
1757268000,ETH,4279.5
1757271600,BTC,111218.0
1757271600,ETH,4291.3
1757275200,BTC,111284.0
1757275200,ETH,4298.0
1757278800,BTC,111004.0
1757278800,ETH,4286.1
1757282400,BTC,111210.0
1757282400,ETH,4307.2
1757286000,BTC,111102.0
1757286000,ETH,4303.4
1757289600,BTC,110785.0
1757289600,ETH,4297.1
1757293200,BTC,110868.0
1757293200,ETH,4290.9
1757296800,BTC,111222.0
1757296800,ETH,4307.5
1757300400,BTC,110991.0
1757300400,ETH,4309.4
1757304000,BTC,110914.0
1757304000,ETH,4295.9
1757307600,BTC,110976.0
1757307600,ETH,4294.8
1757311200,BTC,111061.0
1757311200,ETH,4290.1
1757314800,BTC,111215.0
1757314800,ETH,4289.5
1757318400,BTC,111645.0
1757318400,ETH,4299.0
1757322000,BTC,112101.0
1757322000,ETH,4316.6
1757325600,BTC,112034.0
1757325600,ETH,4327.1
1757329200,BTC,112041.0
1757329200,ETH,4310.1
1757332800,BTC,112034.0
1757332800,ETH,4319.9
1757336400,BTC,111893.0
1757336400,ETH,4319.6
1757340000,BTC,112600.0
1757340000,ETH,4349.7
1757343600,BTC,112593.0
1757343600,ETH,4371.0
1757347200,BTC,112342.0
1757347200,ETH,4338.3
1757350800,BTC,112167.0
1757350800,ETH,4310.6
1757354400,BTC,112428.0
1757354400,ETH,4328.9
1757358000,BTC,112014.0
1757358000,ETH,4289.7
1757361600,BTC,111923.0
1757361600,ETH,4297.0
1757365200,BTC,112309.0
1757365200,ETH,4320.8
1757368800,BTC,112203.0
1757368800,ETH,4310.1
1757372400,BTC,112035.0
1757372400,ETH,4304.0
1757376000,BTC,111629.0
1757376000,ETH,4300.5
1757379600,BTC,111356.0
1757379600,ETH,4286.1
1757383200,BTC,111319.0
1757383200,ETH,4290.5
1757386800,BTC,111695.0
1757386800,ETH,4306.7
1757390400,BTC,112025.0
1757390400,ETH,4313.6
1757394000,BTC,112194.0
1757394000,ETH,4318.5
1757397600,BTC,112999.0
1757397600,ETH,4364.1
1757401200,BTC,112967.0
1757401200,ETH,4360.7
1757404800,BTC,112965.0
1757404800,ETH,4359.6
1757408400,BTC,112938.0
1757408400,ETH,4356.1
1757412000,BTC,112732.0
1757412000,ETH,4347.9
1757415600,BTC,112412.0
1757415600,ETH,4347.2
1757419200,BTC,112662.0
1757419200,ETH,4344.8
1757422800,BTC,112757.0
1757422800,ETH,4347.1
1757426400,BTC,111797.0
1757426400,ETH,4305.9
1757430000,BTC,110895.0
1757430000,ETH,4285.0
1757433600,BTC,110987.0
1757433600,ETH,4288.3
1757437200,BTC,111065.0
1757437200,ETH,4286.9
1757440800,BTC,111199.0
1757440800,ETH,4287.0
1757444400,BTC,111359.0
1757444400,ETH,4295.5
1757448000,BTC,111555.0
1757448000,ETH,4305.9
1757451600,BTC,111317.0
1757451600,ETH,4302.5
1757455200,BTC,111583.0
1757455200,ETH,4319.0
1757458800,BTC,111563.0
1757458800,ETH,4310.9
1757462400,BTC,111022.0
1757462400,ETH,4286.2
1757466000,BTC,111029.0
1757466000,ETH,4304.0
1757469600,BTC,111437.0
1757469600,ETH,4317.8
1757473200,BTC,111547.0
1757473200,ETH,4320.5
1757476800,BTC,111542.0
1757476800,ETH,4313.6
1757480400,BTC,111597.0
1757480400,ETH,4309.7
1757484000,BTC,111811.0
1757484000,ETH,4314.4
1757487600,BTC,112548.0
1757487600,ETH,4330.6
1757491200,BTC,112382.0
1757491200,ETH,4332.2
1757494800,BTC,112290.0
1757494800,ETH,4325.6
1757498400,BTC,112283.0
1757498400,ETH,4326.7
1757502000,BTC,112332.0
1757502000,ETH,4331.7
1757505600,BTC,113400.0
1757505600,ETH,4372.5
1757509200,BTC,113911.0
1757509200,ETH,4417.7
1757512800,BTC,113899.0
1757512800,ETH,4402.8
1757516400,BTC,113831.0
1757516400,ETH,4405.6
1757520000,BTC,113762.0
